Season,Round,Championship Position,DriverID,FirstName,FamilyName,Nationality,Points
2013,9,11,sutil,Adrian,Sutil,German,23
2013,9,12,perez,Sergio,Pérez,Mexican,16
2013,9,13,vergne,Jean-Éric,Vergne,French,13
2013,9,14,ricciardo,Daniel,Ricciardo,Australian,11
2013,9,15,hulkenberg,Nico,Hülkenberg,German,7
2013,9,16,maldonado,Pastor,Maldonado,Venezuelan,0
2013,9,17,bottas,Valtteri,Bottas,Finnish,0
2013,9,18,gutierrez,Esteban,Gutiérrez,Mexican,0
2013,9,19,jules_bianchi,Jules,Bianchi,French,0
2013,9,20,pic,Charles,Pic,French,0
2013,9,21,chilton,Max,Chilton,British,0
2013,9,22,garde,Giedo,van der Garde,Dutch,0
2013,18,1,vettel,Sebastian,Vettel,German,372
2013,18,2,alonso,Fernando,Alonso,Spanish,227
2013,18,3,hamilton,Lewis,Hamilton,British,187
2013,18,4,raikkonen,Kimi,Räikkönen,Finnish,183
2013,18,5,webber,Mark,Webber,Australian,181
2013,18,6,rosberg,Nico,Rosberg,German,161
2013,18,7,grosjean,Romain,Grosjean,French,132
2013,18,8,massa,Felipe,Massa,Brazilian,106
2013,18,9,button,Jenson,Button,British,61
2013,18,10,resta,Paul,di Resta,British,48
2013,18,11,hulkenberg,Nico,Hülkenberg,German,47
2013,18,12,perez,Sergio,Pérez,Mexican,41
2013,18,13,sutil,Adrian,Sutil,German,29
2013,18,14,ricciardo,Daniel,Ricciardo,Australian,19
2013,18,15,vergne,Jean-Éric,Vergne,French,13
2013,18,16,gutierrez,Esteban,Gutiérrez,Mexican,6
2013,18,17,bottas,Valtteri,Bottas,Finnish,4
2013,18,18,maldonado,Pastor,Maldonado,Venezuelan,1
2013,18,19,jules_bianchi,Jules,Bianchi,French,0
2013,18,20,pic,Charles,Pic,French,0
2013,18,21,garde,Giedo,van der Garde,Dutch,0
2013,18,22,chilton,Max,Chilton,British,0
2013,18,23,kovalainen,Heikki,Kovalainen,Finnish,0
2013,11,1,vettel,Sebastian,Vettel,German,197
2013,11,2,alonso,Fernando,Alonso,Spanish,151
2013,11,3,hamilton,Lewis,Hamilton,British,139
2013,11,4,raikkonen,Kimi,Räikkönen,Finnish,134
2013,11,5,webber,Mark,Webber,Australian,115
2013,11,6,rosberg,Nico,Rosberg,German,96
2013,11,7,massa,Felipe,Massa,Brazilian,67
2013,11,8,grosjean,Romain,Grosjean,French,53
2013,11,9,button,Jenson,Button,British,47
2013,11,10,resta,Paul,di Resta,British,36
2013,11,11,sutil,Adrian,Sutil,German,25
2013,11,12,perez,Sergio,Pérez,Mexican,18
2013,11,13,vergne,Jean-Éric,Vergne,French,13
2013,11,14,ricciardo,Daniel,Ricciardo,Australian,12
2013,11,15,hulkenberg,Nico,Hülkenberg,German,7
2013,11,16,maldonado,Pastor,Maldonado,Venezuelan,1
2013,11,17,bottas,Valtteri,Bottas,Finnish,0
2013,11,18,gutierrez,Esteban,Gutiérrez,Mexican,0
2013,11,19,jules_bianchi,Jules,Bianchi,French,0
2013,11,20,pic,Charles,Pic,French,0
2013,11,21,garde,Giedo,van der Garde,Dutch,0
2013,11,22,chilton,Max,Chilton,British,0
2013,16,1,vettel,Sebastian,Vettel,German,322
2013,16,2,alonso,Fernando,Alonso,Spanish,207
2013,16,3,raikkonen,Kimi,Räikkönen,Finnish,183
2013,16,4,hamilton,Lewis,Hamilton,British,169
2013,16,5,webber,Mark,Webber,Australian,148
2013,16,6,rosberg,Nico,Rosberg,German,144
2013,16,7,grosjean,Romain,Grosjean,French,102
2013,16,8,massa,Felipe,Massa,Brazilian,102
2013,16,9,button,Jenson,Button,British,60
2013,16,10,resta,Paul,di Resta,British,40
2013,16,11,hulkenberg,Nico,Hülkenberg,German,39
2013,16,12,perez,Sergio,Pérez,Mexican,33
2013,16,13,sutil,Adrian,Sutil,German,28
2013,16,14,ricciardo,Daniel,Ricciardo,Australian,19
2013,16,15,vergne,Jean-Éric,Vergne,French,13
2013,16,16,gutierrez,Esteban,Gutiérrez,Mexican,6
2013,16,17,maldonado,Pastor,Maldonado,Venezuelan,1
2013,16,18,bottas,Valtteri,Bottas,Finnish,0
2013,16,19,jules_bianchi,Jules,Bianchi,French,0
2013,16,20,pic,Charles,Pic,French,0
2013,16,21,garde,Giedo,van der Garde,Dutch,0
2013,16,22,chilton,Max,Chilton,British,0
2013,17,1,vettel,Sebastian,Vettel,German,347
2013,17,2,alonso,Fernando,Alonso,Spanish,217
2013,17,3,raikkonen,Kimi,Räikkönen,Finnish,183
2013,17,4,hamilton,Lewis,Hamilton,British,175
2013,17,5,webber,Mark,Webber,Australian,166
2013,17,6,rosberg,Nico,Rosberg,German,159
2013,17,7,grosjean,Romain,Grosjean,French,114
2013,17,8,massa,Felipe,Massa,Brazilian,106
2013,17,9,button,Jenson,Button,British,60
2013,17,10,resta,Paul,di Resta,British,48
2013,17,11,hulkenberg,Nico,Hülkenberg,German,39
2013,17,12,perez,Sergio,Pérez,Mexican,35
2013,17,13,sutil,Adrian,Sutil,German,29
2013,17,14,ricciardo,Daniel,Ricciardo,Australian,19
2013,17,15,vergne,Jean-Éric,Vergne,French,13
2013,17,16,gutierrez,Esteban,Gutiérrez,Mexican,6
2013,17,17,maldonado,Pastor,Maldonado,Venezuelan,1
2013,17,18,bottas,Valtteri,Bottas,Finnish,0
2013,17,19,jules_bianchi,Jules,Bianchi,French,0
2013,17,20,pic,Charles,Pic,French,0
2013,17,21,garde,Giedo,van der Garde,Dutch,0
2013,17,22,chilton,Max,Chilton,British,0
2013,10,1,vettel,Sebastian,Vettel,German,172
2013,10,2,raikkonen,Kimi,Räikkönen,Finnish,134
2013,10,3,alonso,Fernando,Alonso,Spanish,133
2013,10,4,hamilton,Lewis,Hamilton,British,124
2013,10,5,webber,Mark,Webber,Australian,105
2013,10,6,rosberg,Nico,Rosberg,German,84
2013,10,7,massa,Felipe,Massa,Brazilian,61
2013,10,8,grosjean,Romain,Grosjean,French,49
2013,10,9,button,Jenson,Button,British,39
2013,10,10,resta,Paul,di Resta,British,36
2013,10,11,sutil,Adrian,Sutil,German,23
2013,10,12,perez,Sergio,Pérez,Mexican,18
2013,10,13,vergne,Jean-Éric,Vergne,French,13
2013,10,14,ricciardo,Daniel,Ricciardo,Australian,11
2013,10,15,hulkenberg,Nico,Hülkenberg,German,7
2013,10,16,maldonado,Pastor,Maldonado,Venezuelan,1
2013,10,17,bottas,Valtteri,Bottas,Finnish,0
2013,10,18,gutierrez,Esteban,Gutiérrez,Mexican,0
2013,10,19,jules_bianchi,Jules,Bianchi,French,0
2013,10,20,pic,Charles,Pic,French,0
2013,10,21,garde,Giedo,van der Garde,Dutch,0
2013,10,22,chilton,Max,Chilton,British,0
2013,19,1,vettel,Sebastian,Vettel,German,397
2013,19,2,alonso,Fernando,Alonso,Spanish,242
2013,19,3,webber,Mark,Webber,Australian,199
2013,19,4,hamilton,Lewis,Hamilton,British,189
2013,19,5,raikkonen,Kimi,Räikkönen,Finnish,183
2013,19,6,rosberg,Nico,Rosberg,German,171
2013,19,7,grosjean,Romain,Grosjean,French,132
2013,19,8,massa,Felipe,Massa,Brazilian,112
2013,19,9,button,Jenson,Button,British,73
2013,19,10,hulkenberg,Nico,Hülkenberg,German,51
2013,19,11,perez,Sergio,Pérez,Mexican,49
2013,19,12,resta,Paul,di Resta,British,48
2013,19,13,sutil,Adrian,Sutil,German,29
2013,19,14,ricciardo,Daniel,Ricciardo,Australian,20
2013,19,15,vergne,Jean-Éric,Vergne,French,13
2013,19,16,gutierrez,Esteban,Gutiérrez,Mexican,6
2013,19,17,bottas,Valtteri,Bottas,Finnish,4
2013,19,18,maldonado,Pastor,Maldonado,Venezuelan,1
2013,19,19,jules_bianchi,Jules,Bianchi,French,0
2013,19,20,pic,Charles,Pic,French,0
2013,19,21,garde,Giedo,van der Garde,Dutch,0
2013,19,22,kovalainen,Heikki,Kovalainen,Finnish,0
2013,19,23,chilton,Max,Chilton,British,0
2013,2,1,vettel,Sebastian,Vettel,German,40
2013,2,2,raikkonen,Kimi,Räikkönen,Finnish,31
2013,2,3,webber,Mark,Webber,Australian,26
2013,2,4,hamilton,Lewis,Hamilton,British,25
2013,2,5,massa,Felipe,Massa,Brazilian,22
2013,2,6,alonso,Fernando,Alonso,Spanish,18
2013,2,7,rosberg,Nico,Rosberg,German,12
2013,2,8,grosjean,Romain,Grosjean,French,9
2013,2,9,sutil,Adrian,Sutil,German,6
2013,2,10,resta,Paul,di Resta,British,4
2013,2,11,hulkenberg,Nico,Hülkenberg,German,4
2013,2,12,perez,Sergio,Pérez,Mexican,2
2013,2,13,button,Jenson,Button,British,2
2013,2,14,vergne,Jean-Éric,Vergne,French,1
2013,2,15,bottas,Valtteri,Bottas,Finnish,0
2013,2,16,gutierrez,Esteban,Gutiérrez,Mexican,0
2013,2,17,jules_bianchi,Jules,Bianchi,French,0
2013,2,18,pic,Charles,Pic,French,0
2013,2,19,garde,Giedo,van der Garde,Dutch,0
2013,2,20,chilton,Max,Chilton,British,0
2013,2,21,ricciardo,Daniel,Ricciardo,Australian,0
2013,2,22,maldonado,Pastor,Maldonado,Venezuelan,0
2013,5,1,vettel,Sebastian,Vettel,German,89
2013,5,2,raikkonen,Kimi,Räikkönen,Finnish,85
2013,5,3,alonso,Fernando,Alonso,Spanish,72
2013,5,4,hamilton,Lewis,Hamilton,British,50
2013,5,5,massa,Felipe,Massa,Brazilian,45
2013,5,6,webber,Mark,Webber,Australian,42
2013,5,7,grosjean,Romain,Grosjean,French,26
2013,5,8,resta,Paul,di Resta,British,26
2013,5,9,rosberg,Nico,Rosberg,German,22
2013,5,10,button,Jenson,Button,British,17
2013,5,11,perez,Sergio,Pérez,Mexican,12
2013,5,12,ricciardo,Daniel,Ricciardo,Australian,7
2013,5,13,sutil,Adrian,Sutil,German,6
2013,5,14,hulkenberg,Nico,Hülkenberg,German,5
2013,5,15,vergne,Jean-Éric,Vergne,French,1
2013,5,16,gutierrez,Esteban,Gutiérrez,Mexican,0
2013,5,17,bottas,Valtteri,Bottas,Finnish,0
2013,5,18,maldonado,Pastor,Maldonado,Venezuelan,0
2013,5,19,jules_bianchi,Jules,Bianchi,French,0
2013,5,20,pic,Charles,Pic,French,0
2013,5,21,garde,Giedo,van der Garde,Dutch,0
2013,5,22,chilton,Max,Chilton,British,0
2013,4,1,vettel,Sebastian,Vettel,German,77
2013,4,2,raikkonen,Kimi,Räikkönen,Finnish,67
2013,4,3,hamilton,Lewis,Hamilton,British,50
2013,4,4,alonso,Fernando,Alonso,Spanish,47
2013,4,5,webber,Mark,Webber,Australian,32
2013,4,6,massa,Felipe,Massa,Brazilian,30
2013,4,7,grosjean,Romain,Grosjean,French,26
2013,4,8,resta,Paul,di Resta,British,20
2013,4,9,rosberg,Nico,Rosberg,German,14
2013,4,10,button,Jenson,Button,British,13
2013,4,11,perez,Sergio,Pérez,Mexican,10
2013,4,12,sutil,Adrian,Sutil,German,6
2013,4,13,ricciardo,Daniel,Ricciardo,Australian,6
2013,4,14,hulkenberg,Nico,Hülkenberg,German,5
2013,4,15,vergne,Jean-Éric,Vergne,French,1
2013,4,16,bottas,Valtteri,Bottas,Finnish,0
2013,4,17,maldonado,Pastor,Maldonado,Venezuelan,0
2013,4,18,gutierrez,Esteban,Gutiérrez,Mexican,0
2013,4,19,jules_bianchi,Jules,Bianchi,French,0
2013,4,20,pic,Charles,Pic,French,0
2013,4,21,garde,Giedo,van der Garde,Dutch,0
2013,4,22,chilton,Max,Chilton,British,0
2013,3,1,vettel,Sebastian,Vettel,German,52
2013,3,2,raikkonen,Kimi,Räikkönen,Finnish,49
2013,3,3,alonso,Fernando,Alonso,Spanish,43
2013,3,4,hamilton,Lewis,Hamilton,British,40
2013,3,5,massa,Felipe,Massa,Brazilian,30
2013,3,6,webber,Mark,Webber,Australian,26
2013,3,7,rosberg,Nico,Rosberg,German,12
2013,3,8,button,Jenson,Button,British,12
2013,3,9,grosjean,Romain,Grosjean,French,11
2013,3,10,resta,Paul,di Resta,British,8
2013,3,11,ricciardo,Daniel,Ricciardo,Australian,6
2013,3,12,sutil,Adrian,Sutil,German,6
2013,3,13,hulkenberg,Nico,Hülkenberg,German,5
2013,3,14,perez,Sergio,Pérez,Mexican,2
2013,3,15,vergne,Jean-Éric,Vergne,French,1
2013,3,16,bottas,Valtteri,Bottas,Finnish,0
2013,3,17,gutierrez,Esteban,Gutiérrez,Mexican,0
2013,3,18,jules_bianchi,Jules,Bianchi,French,0
2013,3,19,pic,Charles,Pic,French,0
2013,3,20,maldonado,Pastor,Maldonado,Venezuelan,0
2013,3,21,garde,Giedo,van der Garde,Dutch,0
2013,3,22,chilton,Max,Chilton,British,0
2014,15,1,hamilton,Lewis,Hamilton,British,266
2014,15,2,rosberg,Nico,Rosberg,German,256
2014,15,3,ricciardo,Daniel,Ricciardo,Australian,193
2014,15,4,vettel,Sebastian,Vettel,German,139
2014,15,5,alonso,Fernando,Alonso,Spanish,133
2014,15,6,bottas,Valtteri,Bottas,Finnish,130
2014,15,7,button,Jenson,Button,British,82
2014,15,8,hulkenberg,Nico,Hülkenberg,German,76
2014,15,9,massa,Felipe,Massa,Brazilian,71
2014,15,10,perez,Sergio,Pérez,Mexican,46
2014,15,11,raikkonen,Kimi,Räikkönen,Finnish,45
2014,15,12,kevin_magnussen,Kevin,Magnussen,Danish,39
2014,15,13,vergne,Jean-Éric,Vergne,French,21
2014,15,14,grosjean,Romain,Grosjean,French,8
2014,15,15,kvyat,Daniil,Kvyat,Russian,8
2014,15,16,jules_bianchi,Jules,Bianchi,French,2
2014,15,17,sutil,Adrian,Sutil,German,0
2014,15,18,ericsson,Marcus,Ericsson,Swedish,0
2014,15,19,maldonado,Pastor,Maldonado,Venezuelan,0
2014,15,20,gutierrez,Esteban,Gutiérrez,Mexican,0
2014,15,21,chilton,Max,Chilton,British,0
2014,15,22,kobayashi,Kamui,Kobayashi,Japanese,0
2014,15,23,lotterer,André,Lotterer,German,0
2014,12,1,rosberg,Nico,Rosberg,German,220
2014,12,2,hamilton,Lewis,Hamilton,British,191
2014,12,3,ricciardo,Daniel,Ricciardo,Australian,156
2014,12,4,alonso,Fernando,Alonso,Spanish,121
2014,12,5,bottas,Valtteri,Bottas,Finnish,110
2014,12,6,vettel,Sebastian,Vettel,German,98
2014,12,7,hulkenberg,Nico,Hülkenberg,German,70
2014,12,8,button,Jenson,Button,British,68
2014,12,9,massa,Felipe,Massa,Brazilian,40
2014,12,10,raikkonen,Kimi,Räikkönen,Finnish,39
2014,12,11,kevin_magnussen,Kevin,Magnussen,Danish,37
2014,12,12,perez,Sergio,Pérez,Mexican,33
2014,12,13,vergne,Jean-Éric,Vergne,French,11
2014,12,14,grosjean,Romain,Grosjean,French,8
2014,12,15,kvyat,Daniil,Kvyat,Russian,8
2014,12,16,jules_bianchi,Jules,Bianchi,French,2
2014,12,17,sutil,Adrian,Sutil,German,0
2014,12,18,ericsson,Marcus,Ericsson,Swedish,0
2014,12,19,maldonado,Pastor,Maldonado,Venezuelan,0
2014,12,20,gutierrez,Esteban,Gutiérrez,Mexican,0
2014,12,21,chilton,Max,Chilton,British,0
2014,12,22,kobayashi,Kamui,Kobayashi,Japanese,0
2014,12,23,lotterer,André,Lotterer,German,0
2014,13,1,rosberg,Nico,Rosberg,German,238
2014,13,2,hamilton,Lewis,Hamilton,British,216
2014,13,3,ricciardo,Daniel,Ricciardo,Australian,166
2014,13,4,bottas,Valtteri,Bottas,Finnish,122
2014,13,5,alonso,Fernando,Alonso,Spanish,121
2014,13,6,vettel,Sebastian,Vettel,German,106
2014,13,7,button,Jenson,Button,British,72
2014,13,8,hulkenberg,Nico,Hülkenberg,German,70
2014,13,9,massa,Felipe,Massa,Brazilian,55
2014,13,10,raikkonen,Kimi,Räikkönen,Finnish,41
2014,13,11,perez,Sergio,Pérez,Mexican,39
2014,13,12,kevin_magnussen,Kevin,Magnussen,Danish,38
2014,13,13,vergne,Jean-Éric,Vergne,French,11
2014,13,14,grosjean,Romain,Grosjean,French,8
2014,13,15,kvyat,Daniil,Kvyat,Russian,8
2014,13,16,jules_bianchi,Jules,Bianchi,French,2
2014,13,17,sutil,Adrian,Sutil,German,0
2014,13,18,ericsson,Marcus,Ericsson,Swedish,0
2014,13,19,maldonado,Pastor,Maldonado,Venezuelan,0
2014,13,20,gutierrez,Esteban,Gutiérrez,Mexican,0
2014,13,21,chilton,Max,Chilton,British,0
2014,13,22,kobayashi,Kamui,Kobayashi,Japanese,0
2014,13,23,lotterer,André,Lotterer,German,0
2014,14,1,hamilton,Lewis,Hamilton,British,241
2014,14,2,rosberg,Nico,Rosberg,German,238
2014,14,3,ricciardo,Daniel,Ricciardo,Australian,181
2014,14,4,alonso,Fernando,Alonso,Spanish,133
2014,14,5,vettel,Sebastian,Vettel,German,124
2014,14,6,bottas,Valtteri,Bottas,Finnish,122
2014,14,7,button,Jenson,Button,British,72
2014,14,8,hulkenberg,Nico,Hülkenberg,German,72
2014,14,9,massa,Felipe,Massa,Brazilian,65
2014,14,10,perez,Sergio,Pérez,Mexican,45
2014,14,11,raikkonen,Kimi,Räikkönen,Finnish,45
2014,14,12,kevin_magnussen,Kevin,Magnussen,Danish,39
2014,14,13,vergne,Jean-Éric,Vergne,French,19
2014,14,14,grosjean,Romain,Grosjean,French,8
2014,14,15,kvyat,Daniil,Kvyat,Russian,8
2014,14,16,jules_bianchi,Jules,Bianchi,French,2
2014,14,17,sutil,Adrian,Sutil,German,0
2014,14,18,ericsson,Marcus,Ericsson,Swedish,0
2014,14,19,maldonado,Pastor,Maldonado,Venezuelan,0
2014,14,20,gutierrez,Esteban,Gutiérrez,Mexican,0
