Season,Round,Constructor-Position,Constrcutor,Nation,Points,Wins
2013,4,8,Sauber,Swiss,5,0
2013,4,9,Williams,British,0,0
2013,4,10,Marussia,Russian,0,0
2013,4,11,Caterham,Malaysian,0,0
2013,3,1,Red Bull,Austrian,78,1
2013,3,2,Ferrari,Italian,73,1
2013,3,3,Lotus F1,British,60,1
2013,3,4,Mercedes,German,52,0
2013,3,5,McLaren,British,14,0
2013,3,6,Force India,Indian,14,0
2013,3,7,Toro Rosso,Italian,7,0
2013,3,8,Sauber,Swiss,5,0
2013,3,9,Williams,British,0,0
2013,3,10,Marussia,Russian,0,0
2013,3,11,Caterham,Malaysian,0,0
2014,15,1,Mercedes,German,522,12
2014,15,2,Red Bull,Austrian,332,3
2014,15,3,Williams,British,201,0
2014,15,4,Ferrari,Italian,178,0
2014,15,5,Force India,Indian,122,0
2014,15,6,McLaren,British,121,0
2014,15,7,Toro Rosso,Italian,29,0
2014,15,8,Lotus F1,British,8,0
2014,15,9,Marussia,Russian,2,0
2014,15,10,Sauber,Swiss,0,0
2014,15,11,Caterham,Malaysian,0,0
2014,12,1,Mercedes,German,411,9
2014,12,2,Red Bull,Austrian,254,3
2014,12,3,Ferrari,Italian,160,0
2014,12,4,Williams,British,150,0
2014,12,5,McLaren,British,105,0
2014,12,6,Force India,Indian,103,0
2014,12,7,Toro Rosso,Italian,19,0
2014,12,8,Lotus F1,British,8,0
2014,12,9,Marussia,Russian,2,0
2014,12,10,Sauber,Swiss,0,0
2014,12,11,Caterham,Malaysian,0,0
2014,13,1,Mercedes,German,454,10
2014,13,2,Red Bull,Austrian,272,3
2014,13,3,Williams,British,177,0
2014,13,4,Ferrari,Italian,162,0
2014,13,5,McLaren,British,110,0
2014,13,6,Force India,Indian,109,0
2014,13,7,Toro Rosso,Italian,19,0
2014,13,8,Lotus F1,British,8,0
2014,13,9,Marussia,Russian,2,0
2014,13,10,Sauber,Swiss,0,0
2014,13,11,Caterham,Malaysian,0,0
2014,14,1,Mercedes,German,479,11
2014,14,2,Red Bull,Austrian,305,3
2014,14,3,Williams,British,187,0
2014,14,4,Ferrari,Italian,178,0
2014,14,5,Force India,Indian,117,0
2014,14,6,McLaren,British,111,0
2014,14,7,Toro Rosso,Italian,27,0
2014,14,8,Lotus F1,British,8,0
2014,14,9,Marussia,Russian,2,0
2014,14,10,Sauber,Swiss,0,0
2014,14,11,Caterham,Malaysian,0,0
2014,8,1,Mercedes,German,301,7
2014,8,2,Red Bull,Austrian,143,1
2014,8,3,Ferrari,Italian,98,0
2014,8,4,Force India,Indian,87,0
2014,8,5,Williams,British,85,0
2014,8,6,McLaren,British,72,0
2014,8,7,Toro Rosso,Italian,12,0
2014,8,8,Lotus F1,British,8,0
2014,8,9,Marussia,Russian,2,0
2014,8,10,Sauber,Swiss,0,0
2014,8,11,Caterham,Malaysian,0,0
2014,6,1,Mercedes,German,240,6
2014,6,2,Red Bull,Austrian,99,0
2014,6,3,Ferrari,Italian,78,0
2014,6,4,Force India,Indian,67,0
2014,6,5,McLaren,British,52,0
2014,6,6,Williams,British,52,0
2014,6,7,Lotus F1,British,8,0
2014,6,8,Toro Rosso,Italian,8,0
2014,6,9,Marussia,Russian,2,0
2014,6,10,Sauber,Swiss,0,0
2014,6,11,Caterham,Malaysian,0,0
2014,1,1,McLaren,British,33,0
2014,1,2,Mercedes,German,25,1
2014,1,3,Ferrari,Italian,18,0
2014,1,4,Williams,British,10,0
2014,1,5,Force India,Indian,9,0
2014,1,6,Toro Rosso,Italian,6,0
2014,1,7,Sauber,Swiss,0,0
2014,1,8,Marussia,Russian,0,0
2014,1,9,Lotus F1,British,0,0
2014,1,10,Caterham,Malaysian,0,0
2014,1,11,Red Bull,Austrian,0,0
2014,7,1,Mercedes,German,258,6
2014,7,2,Red Bull,Austrian,139,1
2014,7,3,Ferrari,Italian,87,0
2014,7,4,Force India,Indian,77,0
2014,7,5,McLaren,British,66,0
2014,7,6,Williams,British,58,0
2014,7,7,Toro Rosso,Italian,12,0
2014,7,8,Lotus F1,British,8,0
2014,7,9,Marussia,Russian,2,0
2014,7,10,Sauber,Swiss,0,0
2014,7,11,Caterham,Malaysian,0,0
2014,9,1,Mercedes,German,326,8
2014,9,2,Red Bull,Austrian,168,1
2014,9,3,Ferrari,Italian,106,0
2014,9,4,Williams,British,103,0
2014,9,5,Force India,Indian,91,0
2014,9,6,McLaren,British,90,0
2014,9,7,Toro Rosso,Italian,15,0
2014,9,8,Lotus F1,British,8,0
2014,9,9,Marussia,Russian,2,0
2014,9,10,Sauber,Swiss,0,0
2014,9,11,Caterham,Malaysian,0,0
2014,18,1,Mercedes,German,651,15
2014,18,2,Red Bull,Austrian,373,3
2014,18,3,Williams,British,254,0
2014,18,4,Ferrari,Italian,210,0
2014,18,5,McLaren,British,161,0
2014,18,6,Force India,Indian,127,0
2014,18,7,Toro Rosso,Italian,30,0
2014,18,8,Lotus F1,British,10,0
2014,18,9,Marussia,Russian,2,0
2014,18,10,Sauber,Swiss,0,0
2014,18,11,Caterham,Malaysian,0,0
2014,11,1,Mercedes,German,393,9
2014,11,2,Red Bull,Austrian,219,2
2014,11,3,Ferrari,Italian,142,0
2014,11,4,Williams,British,135,0
2014,11,5,Force India,Indian,98,0
2014,11,6,McLaren,British,97,0
2014,11,7,Toro Rosso,Italian,17,0
2014,11,8,Lotus F1,British,8,0
2014,11,9,Marussia,Russian,2,0
2014,11,10,Sauber,Swiss,0,0
2014,11,11,Caterham,Malaysian,0,0
2014,16,1,Mercedes,German,565,13
2014,16,2,Red Bull,Austrian,342,3
2014,16,3,Williams,British,216,0
2014,16,4,Ferrari,Italian,188,0
2014,16,5,McLaren,British,143,0
2014,16,6,Force India,Indian,123,0
2014,16,7,Toro Rosso,Italian,29,0
2014,16,8,Lotus F1,British,8,0
2014,16,9,Marussia,Russian,2,0
2014,16,10,Sauber,Swiss,0,0
2014,16,11,Caterham,Malaysian,0,0
2014,17,1,Mercedes,German,608,14
2014,17,2,Red Bull,Austrian,363,3
2014,17,3,Williams,British,238,0
2014,17,4,Ferrari,Italian,196,0
2014,17,5,McLaren,British,147,0
2014,17,6,Force India,Indian,123,0
2014,17,7,Toro Rosso,Italian,30,0
2014,17,8,Lotus F1,British,10,0
2014,17,9,Marussia,Russian,2,0
2014,17,10,Sauber,Swiss,0,0
2014,17,11,Caterham,Malaysian,0,0
2014,10,1,Mercedes,German,366,9
2014,10,2,Red Bull,Austrian,188,1
2014,10,3,Williams,British,121,0
2014,10,4,Ferrari,Italian,116,0
2014,10,5,Force India,Indian,98,0
2014,10,6,McLaren,British,96,0
2014,10,7,Toro Rosso,Italian,15,0
2014,10,8,Lotus F1,British,8,0
2014,10,9,Marussia,Russian,2,0
2014,10,10,Sauber,Swiss,0,0
2014,10,11,Caterham,Malaysian,0,0
2014,19,1,Mercedes,German,701,16
2014,19,2,Red Bull,Austrian,405,3
2014,19,3,Williams,British,320,0
2014,19,4,Ferrari,Italian,216,0
2014,19,5,McLaren,British,181,0
2014,19,6,Force India,Indian,155,0
2014,19,7,Toro Rosso,Italian,30,0
2014,19,8,Lotus F1,British,10,0
2014,19,9,Marussia,Russian,2,0
2014,19,10,Sauber,Swiss,0,0
2014,19,11,Caterham,Malaysian,0,0
2014,2,1,Mercedes,German,68,2
2014,2,2,McLaren,British,43,0
2014,2,3,Ferrari,Italian,30,0
2014,2,4,Williams,British,20,0
2014,2,5,Force India,Indian,19,0
2014,2,6,Red Bull,Austrian,15,0
2014,2,7,Toro Rosso,Italian,7,0
2014,2,8,Sauber,Swiss,0,0
2014,2,9,Lotus F1,British,0,0
2014,2,10,Caterham,Malaysian,0,0
2014,2,11,Marussia,Russian,0,0
2014,5,1,Mercedes,German,197,5
2014,5,2,Red Bull,Austrian,84,0
2014,5,3,Ferrari,Italian,66,0
2014,5,4,Force India,Indian,57,0
2014,5,5,Williams,British,46,0
2014,5,6,McLaren,British,43,0
2014,5,7,Toro Rosso,Italian,8,0
2014,5,8,Lotus F1,British,4,0
2014,5,9,Sauber,Swiss,0,0
2014,5,10,Marussia,Russian,0,0
2014,5,11,Caterham,Malaysian,0,0
2014,4,1,Mercedes,German,154,4
2014,4,2,Red Bull,Austrian,57,0
2014,4,3,Force India,Indian,54,0
2014,4,4,Ferrari,Italian,52,0
2014,4,5,McLaren,British,43,0
2014,4,6,Williams,British,36,0
2014,4,7,Toro Rosso,Italian,8,0
2014,4,8,Lotus F1,British,0,0
2014,4,9,Sauber,Swiss,0,0
2014,4,10,Marussia,Russian,0,0
2014,4,11,Caterham,Malaysian,0,0
2014,3,1,Mercedes,German,111,3
2014,3,2,Force India,Indian,44,0
2014,3,3,McLaren,British,43,0
2014,3,4,Red Bull,Austrian,35,0
2014,3,5,Ferrari,Italian,33,0
2014,3,6,Williams,British,30,0
2014,3,7,Toro Rosso,Italian,7,0
2014,3,8,Lotus F1,British,0,0
2014,3,9,Sauber,Swiss,0,0
2014,3,10,Marussia,Russian,0,0
2014,3,11,Caterham,Malaysian,0,0
2022,15,1,Red Bull,Austrian,511,11
2022,15,2,Ferrari,Italian,376,4
2022,15,3,Mercedes,German,346,0
2022,15,4,Alpine F1 Team,French,125,0
2022,15,5,McLaren,British,101,0
2022,15,6,Alfa Romeo,Swiss,51,0
2022,15,7,Haas F1 Team,American,34,0
2022,15,8,AlphaTauri,Italian,29,0
2022,15,9,Aston Martin,British,25,0
2022,15,10,Williams,British,4,0
2022,12,1,Red Bull,Austrian,396,8
2022,12,2,Ferrari,Italian,314,4
2022,12,3,Mercedes,German,270,0
2022,12,4,Alpine F1 Team,French,93,0
2022,12,5,McLaren,British,89,0
2022,12,6,Alfa Romeo,Swiss,51,0
2022,12,7,Haas F1 Team,American,34,0
2022,12,8,AlphaTauri,Italian,27,0
2022,12,9,Aston Martin,British,19,0
2022,12,10,Williams,British,3,0
2022,13,1,Red Bull,Austrian,431,9
2022,13,2,Ferrari,Italian,334,4
2022,13,3,Mercedes,German,304,0
2022,13,4,Alpine F1 Team,French,99,0
2022,13,5,McLaren,British,95,0
2022,13,6,Alfa Romeo,Swiss,51,0
2022,13,7,Haas F1 Team,American,34,0
2022,13,8,AlphaTauri,Italian,27,0
2022,13,9,Aston Martin,British,20,0
2022,13,10,Williams,British,3,0
2022,14,1,Red Bull,Austrian,475,10
2022,14,2,Ferrari,Italian,357,4
2022,14,3,Mercedes,German,316,0
2022,14,4,Alpine F1 Team,French,115,0
2022,14,5,McLaren,British,95,0
2022,14,6,Alfa Romeo,Swiss,51,0
2022,14,7,Haas F1 Team,American,34,0
2022,14,8,AlphaTauri,Italian,29,0
2022,14,9,Aston Martin,British,24,0
2022,14,10,Williams,British,4,0
2022,22,1,Red Bull,Austrian,759,17
2022,22,2,Ferrari,Italian,554,4
2022,22,3,Mercedes,German,515,1
2022,22,4,Alpine F1 Team,French,173,0
2022,22,5,McLaren,British,159,0
2022,22,6,Alfa Romeo,Swiss,55,0
2022,22,7,Aston Martin,British,55,0
2022,22,8,Haas F1 Team,American,37,0
2022,22,9,AlphaTauri,Italian,35,0
2022,22,10,Williams,British,8,0
2022,8,1,Red Bull,Austrian,279,6
2022,8,2,Ferrari,Italian,199,2
2022,8,3,Mercedes,German,161,0
2022,8,4,McLaren,British,65,0
2022,8,5,Alpine F1 Team,French,47,0
2022,8,6,Alfa Romeo,Swiss,41,0
2022,8,7,AlphaTauri,Italian,27,0
2022,8,8,Haas F1 Team,American,15,0
2022,8,9,Aston Martin,British,15,0
2022,8,10,Williams,British,3,0
2022,6,1,Red Bull,Austrian,195,4
2022,6,2,Ferrari,Italian,169,2
2022,6,3,Mercedes,German,120,0
2022,6,4,McLaren,British,50,0
2022,6,5,Alfa Romeo,Swiss,39,0
2022,6,6,Alpine F1 Team,French,34,0
2022,6,7,AlphaTauri,Italian,17,0
2022,6,8,Haas F1 Team,American,15,0
2022,6,9,Aston Martin,British,6,0
2022,6,10,Williams,British,3,0
2022,1,1,Ferrari,Italian,44,1
2022,1,2,Mercedes,German,27,0
2022,1,3,Haas F1 Team,American,10,0
2022,1,4,Alfa Romeo,Swiss,9,0
2022,1,5,Alpine F1 Team,French,8,0
2022,1,6,AlphaTauri,Italian,4,0
2022,1,7,Aston Martin,British,0,0
2022,1,8,Williams,British,0,0
2022,1,9,McLaren,British,0,0
2022,1,10,Red Bull,Austrian,0,0
2022,7,1,Red Bull,Austrian,235,5
2022,7,2,Ferrari,Italian,199,2
2022,7,3,Mercedes,German,134,0
2022,7,4,McLaren,British,59,0
2022,7,5,Alfa Romeo,Swiss,41,0
2022,7,6,Alpine F1 Team,French,40,0
2022,7,7,AlphaTauri,Italian,17,0
2022,7,8,Haas F1 Team,American,15,0
2022,7,9,Aston Martin,British,7,0
2022,7,10,Williams,British,3,0
2022,9,1,Red Bull,Austrian,304,7
2022,9,2,Ferrari,Italian,228,2
2022,9,3,Mercedes,German,188,0
2022,9,4,McLaren,British,65,0
2022,9,5,Alpine F1 Team,French,57,0
2022,9,6,Alfa Romeo,Swiss,51,0
2022,9,7,AlphaTauri,Italian,27,0
2022,9,8,Aston Martin,British,16,0
2022,9,9,Haas F1 Team,American,15,0
2022,9,10,Williams,British,3,0
2022,20,1,Red Bull,Austrian,696,16
2022,20,2,Ferrari,Italian,487,4
2022,20,3,Mercedes,German,447,0
2022,20,4,Alpine F1 Team,French,153,0
2022,20,5,McLaren,British,146,0
2022,20,6,Alfa Romeo,Swiss,53,0
2022,20,7,Aston Martin,British,49,0
2022,20,8,Haas F1 Team,American,36,0
2022,20,9,AlphaTauri,Italian,35,0
2022,20,10,Williams,British,8,0
2022,18,1,Red Bull,Austrian,619,14
2022,18,2,Ferrari,Italian,454,4
2022,18,3,Mercedes,German,387,0
2022,18,4,Alpine F1 Team,French,143,0
2022,18,5,McLaren,British,130,0
2022,18,6,Alfa Romeo,Swiss,52,0
2022,18,7,Aston Martin,British,45,0
2022,18,8,Haas F1 Team,American,34,0
2022,18,9,AlphaTauri,Italian,34,0
2022,18,10,Williams,British,8,0
2022,11,1,Red Bull,Austrian,359,7
2022,11,2,Ferrari,Italian,303,4
2022,11,3,Mercedes,German,237,0
2022,11,4,McLaren,British,81,0
2022,11,5,Alpine F1 Team,French,81,0
2022,11,6,Alfa Romeo,Swiss,51,0
2022,11,7,Haas F1 Team,American,34,0
2022,11,8,AlphaTauri,Italian,27,0
2022,11,9,Aston Martin,British,18,0
2022,11,10,Williams,British,3,0
2022,16,1,Red Bull,Austrian,545,12
2022,16,2,Ferrari,Italian,406,4
2022,16,3,Mercedes,German,371,0
2022,16,4,Alpine F1 Team,French,125,0
2022,16,5,McLaren,British,107,0
2022,16,6,Alfa Romeo,Swiss,52,0
2022,16,7,Haas F1 Team,American,34,0
2022,16,8,AlphaTauri,Italian,33,0
2022,16,9,Aston Martin,British,25,0
2022,16,10,Williams,British,6,0
2022,17,1,Red Bull,Austrian,576,13
2022,17,2,Ferrari,Italian,439,4
2022,17,3,Mercedes,German,373,0
2022,17,4,McLaren,British,129,0
2022,17,5,Alpine F1 Team,French,125,0
2022,17,6,Alfa Romeo,Swiss,52,0
2022,17,7,Aston Martin,British,37,0
2022,17,8,Haas F1 Team,American,34,0
2022,17,9,AlphaTauri,Italian,34,0
2022,17,10,Williams,British,6,0
2022,10,1,Red Bull,Austrian,328,7
2022,10,2,Ferrari,Italian,265,3
2022,10,3,Mercedes,German,204,0
2022,10,4,McLaren,British,73,0
2022,10,5,Alpine F1 Team,French,67,0
2022,10,6,Alfa Romeo,Swiss,51,0
2022,10,7,AlphaTauri,Italian,27,0
2022,10,8,Haas F1 Team,American,20,0
2022,10,9,Aston Martin,British,18,0
2022,10,10,Williams,British,3,0
2022,19,1,Red Bull,Austrian,656,15
2022,19,2,Ferrari,Italian,469,4
2022,19,3,Mercedes,German,416,0
2022,19,4,Alpine F1 Team,French,149,0
2022,19,5,McLaren,British,138,0
2022,19,6,Alfa Romeo,Swiss,52,0
2022,19,7,Aston Martin,British,49,0
2022,19,8,Haas F1 Team,American,36,0
2022,19,9,AlphaTauri,Italian,35,0
2022,19,10,Williams,British,8,0
2022,21,1,Red Bull,Austrian,719,16
2022,21,2,Ferrari,Italian,524,4
2022,21,3,Mercedes,German,505,1
2022,21,4,Alpine F1 Team,French,167,0
2022,21,5,McLaren,British,148,0
2022,21,6,Alfa Romeo,Swiss,55,0
2022,21,7,Aston Martin,British,50,0
2022,21,8,Haas F1 Team,American,37,0
2022,21,9,AlphaTauri,Italian,35,0
2022,21,10,Williams,British,8,0
2022,2,1,Ferrari,Italian,78,1
2022,2,2,Mercedes,German,38,0
2022,2,3,Red Bull,Austrian,37,1
2022,2,4,Alpine F1 Team,French,16,0
2022,2,5,Haas F1 Team,American,12,0
2022,2,6,Alfa Romeo,Swiss,9,0
2022,2,7,AlphaTauri,Italian,8,0
2022,2,8,McLaren,British,6,0
2022,2,9,Aston Martin,British,0,0
2022,2,10,Williams,British,0,0
2022,5,1,Ferrari,Italian,157,2
2022,5,2,Red Bull,Austrian,151,3
2022,5,3,Mercedes,German,95,0
2022,5,4,McLaren,British,46,0
2022,5,5,Alfa Romeo,Swiss,31,0
2022,5,6,Alpine F1 Team,French,26,0
2022,5,7,AlphaTauri,Italian,16,0
2022,5,8,Haas F1 Team,American,15,0
2022,5,9,Aston Martin,British,6,0
2022,5,10,Williams,British,3,0
2022,4,1,Ferrari,Italian,124,2
2022,4,2,Red Bull,Austrian,113,2
2022,4,3,Mercedes,German,77,0
2022,4,4,McLaren,British,46,0
2022,4,5,Alfa Romeo,Swiss,25,0
2022,4,6,Alpine F1 Team,French,22,0
2022,4,7,AlphaTauri,Italian,16,0
2022,4,8,Haas F1 Team,American,15,0
2022,4,9,Aston Martin,British,5,0
2022,4,10,Williams,British,1,0
2022,3,1,Ferrari,Italian,104,2
2022,3,2,Mercedes,German,65,0
2022,3,3,Red Bull,Austrian,55,1
2022,3,4,McLaren,British,24,0
2022,3,5,Alpine F1 Team,French,22,0
2022,3,6,Alfa Romeo,Swiss,13,0
2022,3,7,Haas F1 Team,American,12,0
2022,3,8,AlphaTauri,Italian,10,0
2022,3,9,Williams,British,1,0
2022,3,10,Aston Martin,British,0,0
2024,24,1,McLaren,British,666,6
2024,24,2,Ferrari,Italian,652,5
2024,24,3,Red Bull,Austrian,589,9
2024,24,4,Mercedes,German,468,4
2024,24,5,Aston Martin,British,94,0
2024,24,6,Alpine F1 Team,French,65,0
2024,24,7,Haas F1 Team,American,58,0
2024,24,8,RB F1 Team,Italian,46,0
2024,24,9,Williams,British,17,0
2024,24,10,Sauber,Swiss,4,0
2024,23,1,McLaren,British,640,5
2024,23,2,Ferrari,Italian,619,5
2024,23,3,Red Bull,Austrian,581,9
2024,23,4,Mercedes,German,446,4
2024,23,5,Aston Martin,British,92,0
2024,23,6,Alpine F1 Team,French,59,0
2024,23,7,Haas F1 Team,American,54,0
2024,23,8,RB F1 Team,Italian,46,0
2024,23,9,Williams,British,17,0
2024,23,10,Sauber,Swiss,4,0
2024,15,1,Red Bull,Austrian,434,7
2024,15,2,McLaren,British,404,3
2024,15,3,Ferrari,Italian,370,2
2024,15,4,Mercedes,German,276,3
2024,15,5,Aston Martin,British,74,0
2024,15,6,RB F1 Team,Italian,34,0
2024,15,7,Haas F1 Team,American,27,0
2024,15,8,Alpine F1 Team,French,13,0
2024,15,9,Williams,British,4,0
2024,15,10,Sauber,Swiss,0,0
2024,12,1,Red Bull,Austrian,373,7
2024,12,2,Ferrari,Italian,302,2
2024,12,3,McLaren,British,295,1
2024,12,4,Mercedes,German,221,2
2024,12,5,Aston Martin,British,68,0
2024,12,6,RB F1 Team,Italian,31,0
2024,12,7,Haas F1 Team,American,27,0
2024,12,8,Alpine F1 Team,French,9,0
2024,12,9,Williams,British,4,0
2024,12,10,Sauber,Swiss,0,0
2024,13,1,Red Bull,Austrian,389,7
2024,13,2,McLaren,British,338,2
